Date,Close/Last,Volume,Open,High,Low
05/04/2025,144.016,N/A,146.704,147.712,143.704
05/03/2025,147.383,N/A,149.883,148.987,147.002
05/02/2025,148.395,N/A,150.75,148.987,147.556
05/01/2025,150.765,N/A,148.709,151.632,150.117
04/30/2025,148.794,N/A,148.15,149.602,147.598
04/29/2025,147.61,N/A,147.451,147.952,145.116
04/28/2025,147.59,N/A,148.415,149.182,147.129
04/27/2025,148.419,N/A,147.461,149.179,144.718
04/26/2025,147.209,N/A,151.36,150.324,146.303
04/25/2025,151.346,N/A,151.739,153.036,150.983
04/24/2025,151.79,N/A,147.79,154.409,150.557
04/23/2025,147.947,N/A,149.207,151.418,147.939
04/22/2025,149.165,N/A,139.361,149.357,147.292
04/21/2025,139.306,N/A,139.31,139.686,135.006
04/20/2025,139.615,N/A,140.967,142.891,137.678
04/19/2025,140.90,N/A,138.853,141.926,139.445
04/18/2025,138.708,N/A,134.565,139.097,133.611
04/17/2025,134.587,N/A,129.89,135.946,133.803
04/16/2025,129.956,N/A,126.465,132.587,129.594
04/15/2025,126.255,N/A,130.532,127.256,125.046
04/14/2025,130.457,N/A,131.653,130.70,127.841
04/13/2025,131.848,N/A,131.832,136.037,128.157
04/12/2025,131.844,N/A,120.161,133.763,131.012
04/11/2025,120.381,N/A,115.396,122.129,119.639
04/10/2025,115.45,N/A,115.443,115.702,112.181
04/09/2025,115.218,N/A,103.294,119.228,114.543
04/08/2025,103.349,N/A,111.303,106.487,101.337
04/07/2025,110.906,N/A,103.221,112.543,106.759
04/06/2025,102.68,N/A,119.889,107.725,102.42
04/05/2025,119.702,N/A,120.717,121.08,119.442
